import time: self [us] | cumulative | imported package
import time:     29997 |      29997 |                       numpy.f2py.__version__
import time:     38424 |      38424 |                         numpy.f2py.cfuncs
import time:     54659 |      93083 |                       numpy.f2py.auxfuncs
import time:     29749 |      29749 |                       numpy.f2py.symbolic
import time:     99699 |     750154 |                     numpy.f2py.crackfortran
import time:     28719 |      28719 |                         numpy.f2py.cb_rules
import time:     44357 |      44357 |                         numpy.f2py._isocbind
import time:     26597 |      99672 |                       numpy.f2py.capi_maps
import time:     73423 |      73423 |                         numpy.f2py.func2subr
import time:     39010 |     112432 |                       numpy.f2py.common_rules
import time:    116583 |     116583 |                       numpy.f2py.use_rules
import time:     49887 |      49887 |                       numpy.f2py.f90mod_rules
import time:    147328 |     525900 |                     numpy.f2py.rules
import time:     20369 |      20369 |                     numpy.f2py._backends
import time:     39478 |    1335900 |                   numpy.f2py.f2py2e
import time:     61244 |      61244 |                   numpy.f2py.diagnose
import time:     69518 |    1466661 |                 numpy.f2py
import time:     41213 |      41213 |                   numpy.core._utils
import time:     45972 |      87184 |                 numpy.core
import time:     92177 |      92177 |                   numpy.ma.core
import time:    105117 |     105117 |                   numpy.ma.extras
import time:     81046 |     278339 |                 numpy.ma
import time:      1742 |       1742 |                   scipy._lib.array_api_compat.common._aliases
import time:       624 |        624 |                   scipy._lib.array_api_compat._internal
import time:      7070 |       9436 |                 scipy._lib.array_api_compat.numpy._aliases
import time:      4372 |       4372 |                   scipy._lib.array_api_compat.common._linalg
import time:      3435 |       7806 |                 scipy._lib.array_api_compat.numpy.linalg
import time:     56467 |    6598801 |               scipy._lib.array_api_compat.numpy
import time:     58596 |    6790011 |             scipy._lib._array_api
import time:     30969 |    6820980 |           scipy._lib._util
import time:      1433 |       1433 |           scipy.sparse._sputils
import time:       600 |        600 |           scipy.sparse._matrix
import time:     29036 |    6852047 |         scipy.sparse._base
import time:    176652 |     176652 |           scipy.sparse._sparsetools
import time:    187560 |     187560 |             scipy.sparse._data
import time:    225182 |     225182 |             scipy.sparse._index
import time:    104060 |     516801 |           scipy.sparse._compressed
import time:       917 |     694369 |         scipy.sparse._csr
import time:    192541 |     192541 |         scipy.sparse._csc
import time:    215761 |     215761 |           scipy.sparse._csparsetools
import time:    343678 |     559439 |         scipy.sparse._lil
import time:    104750 |     104750 |         scipy.sparse._dok
import time:    414513 |     414513 |         scipy.sparse._coo
import time:    120414 |     120414 |         scipy.sparse._dia
import time:    158928 |     158928 |         scipy.sparse._bsr
import time:    289307 |     289307 |         scipy.sparse._construct
import time:    235490 |     235490 |         scipy.sparse._extract
import time:    442640 |     442640 |         scipy.sparse._matrix_io
